key,canonical
a gornja stubica,Gornja Stubica
banjole,Banjole
baska,Baška
baska krk,Baška
beli manastir,Beli Manastir
belisce,Belišće
benkovac,Benkovac
bestovje,Bestovje
bibinje,Bibinje
bilje,Bilje
biograd,Biograd na Moru
biograd na moru,Biograd na Moru
bjelovar,Bjelovar
borovo,Borovo
brckovljani,Brckovljani
brela,Brela
buje,Buje
buzet,Buzet
cakovec,Čakovec
catrnja rakovica,Rakovica
cavle,Čavle
cazma,Čazma
cepin,Čepin
cestica,Cestica
cibaca,Čibača
cista provo,Cista Provo
cres,Cres
crikvenica,Crikvenica
dakovo,Đakovo
daruvar,Daruvar
delnice,Delnice
djakovo,Đakovo
donja stubica,Donja Stubica
donji kneginec,Donji Kneginec
donji miholjac,Donji Miholjac
donji stupnik,Donji Stupnik
drazice,Dražice
drenovci,Drenovci
drnis,Drniš
dubrovnik,Dubrovnik
duga resa,Duga Resa
dugi rat,Dugi Rat
dugo selo,Dugo Selo
dugopolje,Dugopolje
durdevac,Đurđevac
fazana,Fažana
funtana,Funtana
garesnica,Garešnica
glina,Glina
gospic,Gospić
grabovac,Grabovac
gracac,Gračac
gradiste,Gradište
grohote,Grohote
grubisno,Grubišno Polje
grubisno polje,Grubišno Polje
hum na sutli,Hum na Sutli
hvar,Hvar
ilok,Ilok
imotski,Imotski
ivance,Ivance
ivanec,Ivanec
ivanic grad,Ivanić-Grad
ivankovo,Ivankovo
jablanovec,Jablanovec
jalzabet,Jalžabet
jarmina,Jarmina
jastrebarsko,Jastrebarsko
jelsa,Jelsa
jezera,Jezera
kali,Kali
karlovac,Karlovac
kastav,Kastav
kastel gomilica,Kaštel Gomilica
kastel kambelovac,Kaštel Kambelovac
kastel luksic,Kaštel Lukšić
kastel novi,Kaštel Novi
kastel stafilic,Kaštel Štafilić
kastel stari,Kaštel Stari
kastel sucurac,Kaštel Sućurac
kastela,Kaštela
knin,Knin
komiza,Komiža
komolac,Komolac
koprivnica,Koprivnica
korcula,Korčula
korenica,Korenica
kostajnica,Hrvatska Kostajnica
kostrena,Kostrena
kotoriba,Kotoriba
krapina,Krapina
krapinske toplice,Krapinske Toplice
krizevci,Križevci
krk,Krk
kukuljanovo,Kukuljanovo
kupari,Kupari
kutina,Kutina
labin,Labin
lepoglava,Lepoglava
lopar,Lopar
lovran,Lovran
ludberg,Ludbreg
ludbreg,Ludbreg
makarska,Makarska
mali losinj,Mali Lošinj
malinska,Malinska
malinska krk,Malinska
marija bistrica,Marija Bistrica
matulji,Matulji
medulin,Medulin
metkovic,Metković
mlini,Mlini
mocici,Močići
mursko sredisce,Mursko Središće
murter,Murter
murter betina,Betina
nasice,Našice
necujam,Nečujam
nedescina,Nedešćina
nin,Nin
nova gradiska,Nova Gradiška
novalja,Novalja
novi marof,Novi Marof
novi vinodolski,Novi Vinodolski
novigrad,Novigrad
novigrad cittanova,Novigrad
novska,Novska
obrovac,Obrovac
ogulin,Ogulin
okrug gornji,Okrug Gornji
omis,Omiš
omisalj,Omišalj
opatija,Opatija
opuzen,Opuzen
orahovica,Orahovica
orebic,Orebić
oriovac,Oriovac
oroslavje,Oroslavje
osijek,Osijek
otocac,Otočac
otok,Otok
ozalj,Ozalj
pag,Pag
pakostane,Pakoštane
pakrac,Pakrac
pasman,Pašman
pazin,Pazin
petrinja,Petrinja
pirovac,Pirovac
pitomaca,Pitomača
plano,Plano
pleternica,Pleternica
ploce,Ploče
podstrana,Podstrana
pomer,Pomer
popovaca,Popovača
porec,Poreč
posedarje,Posedarje
pozega,Požega
pregrada,Pregrada
preko,Preko
prelog,Prelog
primosten,Primošten
privlaka,Privlaka
pula,Pula
punat,Punat
rab,Rab
rakovica,Rakovica
ravna gora,Ravna Gora
razanac,Ražanac
razanj,Ražanj
razine,Šibenik
rijeka,Rijeka
rijeka skurinje,Rijeka
rijeka zamet,Rijeka
rogoznica,Rogoznica
rovinj,Rovinj
rovinj rovigno,Rovinj
rubesi,Rubeši
s kraljevec,Sesvetski Kraljevec
sali,Sali
samobor,Samobor
seget donji,Seget Donji
sela,Sela
selca,Selca
selce,Selce
senj,Senj
sestanovac,Šestanovac
sestenovac,Šestanovac
sesvete,Sesvete
sesvetski kraljevec,Sesvetski Kraljevec
sibenik,Šibenik
sibenik razine,Šibenik
sinj,Sinj
sisak,Sisak
slatina,Slatina
slavonski brod,Slavonski Brod
slunj,Slunj
soblinec,Soblinec
solin,Solin
split,Split
split ravne njive,Split
split trstenik,Split
stari grad,Stari Grad
starigrad,Starigrad
starigrad paklenica,Starigrad
stobrec,Stobreč
ston,Ston
strmec,Strmec
strozanac,Strožanac
suhopolje,Suhopolje
sukosan,Sukošan
supetar,Supetar
sv filip i jakov,Sveti Filip i Jakov
sv i zelina,Sveti Ivan Zelina
sv ivan zelina,Sveti Ivan Zelina
sv kriz zacretje,Sveti Križ Začretje
sveta nedelja,Sveta Nedelja
sveta nedjelja,Sveta Nedelja
sveti filip i jakov,Sveti Filip i Jakov
sveti ivan zelina,Sveti Ivan Zelina
sveti kriz zacretje,Sveti Križ Začretje
tar,Tar
tar vabriga,Tar-Vabriga
tkon,Tkon
tribunj,Tribunj
trilj,Trilj
trnovec bartolovecki,Trnovec Bartolovečki
trogir,Trogir
ugljan,Ugljan
umag,Umag
umag umago,Umag-Umago
valpovo,Valpovo
varazdin,Varaždin
varazdin biskupec,Varaždin
varazdinske toplice,Varaždinske Toplice
vela luka,Vela Luka
velika gorica,Velika Gorica
velika mlaka,Velika Mlaka
veliko trgovisce,Veliko Trgovišće
vinkovci,Vinkovci
vir,Vir
virovitica,Virovitica
vis,Vis
viskovo,Viškovo
vodice,Vodice
vodnjan,Vodnjan
vojnic,Vojnić
volosko,Volosko
vrbovec,Vrbovec
vrpolje,Vrpolje
vrsar,Vrsar
vrsi,Vrsi
vukovar,Vukovar
zabok,Zabok
zadar,Zadar
zadar sinjoretovo,Zadar
zadar visnjik,Zadar
zagreb,Zagreb
zagreb barutanski jarak,Zagreb
zagreb blato,Zagreb
zagreb dubec,Zagreb
zagreb jablanska,Zagreb
zagreb jankomir,Zagreb
zagreb kvatric,Zagreb
zagreb novi zagreb,Zagreb
zagreb pescenica,Zagreb
zagreb precko,Zagreb
zagreb ravnice,Zagreb
zagreb sesvete,Sesvete
zagreb slobostina,Zagreb
zagreb sredisce,Zagreb
zagreb st grad,Zagreb
zaostrog,Zaostrog
zapresic,Zaprešić
zaton,Zaton
zaton nin,Zaton
zlatar,Zlatar
zlatar bistrica,Zlatar Bistrica
zminj,Žminj
zupanja,Županja
